,PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare
0,1,3,male,2.2,1,0,7.25
1,2,1,female,3.8,1,0,71.2833
2,3,3,female,2.6,0,0,7.925
3,4,1,female,3.5,1,0,53.1
4,5,3,male,3.5,0,0,8.05
5,6,3,male,2.9,0,0,8.4583
6,7,1,male,5.4,0,0,51.8625
7,8,3,male,0.2,3,1,21.075
8,9,3,female,2.7,0,2,11.1333
9,10,2,female,1.4,1,0,30.0708
10,11,3,female,0.4,1,1,16.7
11,12,1,female,5.8,0,0,26.55
12,13,3,male,2.0,0,0,8.05
13,14,3,male,3.9,1,5,31.275
14,15,3,female,1.4,0,0,7.8542
15,16,2,female,5.5,0,0,16.0
16,17,3,male,0.2,4,1,29.125
17,18,2,male,2.9,0,0,13.0
18,19,3,female,3.1,1,0,18.0
19,20,3,female,2.9,0,0,7.225
20,21,2,male,3.5,0,0,26.0
21,22,2,male,3.4,0,0,13.0
22,23,3,female,1.5,0,0,8.0292
23,24,1,male,2.8,0,0,35.5
24,25,3,female,0.8,3,1,21.075
25,26,3,female,3.8,1,5,31.3875
26,27,3,male,2.9,0,0,7.225
27,28,1,male,1.9,3,2,263.0
28,29,3,female,2.9,0,0,7.8792
29,30,3,male,2.9,0,0,7.8958
30,31,1,male,4.0,0,0,27.7208
31,32,1,female,2.9,1,0,146.5208
32,33,3,female,2.9,0,0,7.75
33,34,2,male,6.6,0,0,10.5
34,35,1,male,2.8,1,0,82.1708
35,36,1,male,4.2,1,0,52.0
36,37,3,male,2.9,0,0,7.2292
37,38,3,male,2.1,0,0,8.05
38,39,3,female,1.8,2,0,18.0
39,40,3,female,1.4,1,0,11.2417
40,41,3,female,4.0,1,0,9.475
41,42,2,female,2.7,1,0,21.0
42,43,3,male,2.9,0,0,7.8958
43,44,2,female,0.3,1,2,41.5792
44,45,3,female,1.9,0,0,7.8792
45,46,3,male,2.9,0,0,8.05
46,47,3,male,2.9,1,0,15.5
47,48,3,female,2.9,0,0,7.75
48,49,3,male,2.9,2,0,21.6792
49,50,3,female,1.8,1,0,17.8
50,51,3,male,0.7,4,1,39.6875
51,52,3,male,2.1,0,0,7.8
52,53,1,female,4.9,1,0,76.7292
53,54,2,female,2.9,1,0,26.0
54,55,1,male,6.5,0,1,61.9792
55,56,1,male,2.9,0,0,35.5
56,57,2,female,2.1,0,0,10.5
57,58,3,male,2.8,0,0,7.2292
58,59,2,female,0.5,1,2,27.75
59,60,3,male,1.1,5,2,46.9
60,61,3,male,2.2,0,0,7.2292
61,62,1,female,3.8,0,0,80.0
62,63,1,male,4.5,1,0,83.475
63,64,3,male,0.4,3,2,27.9
64,65,1,male,2.9,0,0,27.7208
65,66,3,male,2.9,1,1,15.2458
66,67,2,female,2.9,0,0,10.5
67,68,3,male,1.9,0,0,8.1583
68,69,3,female,1.7,4,2,7.925
69,70,3,male,2.6,2,0,8.6625
70,71,2,male,3.2,0,0,10.5
71,72,3,female,1.6,5,2,46.9
